ラベル用備考,ラベル発行枚数,リテスト延長使用期限,リテスト試験日数,使用剤形,使用期限表示,保障期間,公差使用,分類,単価,原料ID,原料コード,原料区分,原料名,原料簿コード（サブ）,原料簿コード（メイン）,原産国表示,受入試験後使用期限,品質管理備考,商品名,商品名カナ,在庫単位（係数）,変更申請／変更指示,差分警告割合,正袋秤量,正袋重量,生産本部備考,画像パス,発注単位,荷姿,補正情報,製造所,規格,調達区分,販売者,風袋重量,,
,2 枚,12 ヵ月,14 日,液剤,リテスト,メーカー保証3年,する,主薬,"24,400",159,A7103,通常,クロルフェニラミンマレイン酸塩,（未設定）,124 : クロルフェニラミンマレイン酸塩 ／ 日局 ／ 金剛化学㈱ ／ イワキ㈱,,12 ヵ月,,クロルフェニラミンマレイン酸塩,ｸﾛﾙﾌｴﾆﾗﾐﾝﾏﾚｲﾝｻﾝｴﾝ,g（1）,,1％,可能,1kg,dl-クロルフェニラミンマレイン酸塩,images\159.jpg,kg,1kg,,金剛化学㈱,日局,購買,スペラネクサス㈱,0.02kg,,
,1 枚,12 ヵ月,14 日,坐剤,使用期限,―,する,その他,"2,240",161,A2408,通常,軽質無水ケイ酸,（未設定）,475 : エロジール200 ／  ／ EVONIK ／ 興和㈱,,12 ヵ月,,AEROSIL 200,ｱｴﾛｼﾞﾙ ﾆﾋﾔｸ,g（1）,,1％,可能,5kg,,images\161.jpg,kg,5kg,,EVONIK,日局,購買,興和㈱化学素材部 機能材料課,0.545kg,,
,1 枚,12 ヵ月,14 日,液剤,表示なし,―,する,その他,229,162,A3404,通常,ケイソウ土,（未設定）,377 : ラヂオライト200　（＝ゼオライト200） ／ 食添 ／ 昭和化学工業㈱ ／ 岩森薬品化工㈱,,12 ヵ月,,ラヂオライト #200,ﾗﾁﾞｵﾗｲﾄ ﾅﾝﾊﾞｰﾆﾋﾔｸ,g（1）,,1％,可能,25kg,,images\162.jpg,kg,25kg,,昭和化学工業㈱,食添,購買,岩森薬品化工㈱,0.24kg,,
,1 枚,12 ヵ月,14 日,液剤,表示なし,―,する,その他,325,163,A3403,通常,ケイソウ土,（未設定）,378 : ラヂオライト500　（＝ゼオライト500） ／ 食添 ／ 昭和化学工業㈱ ／ 岩森薬品化工㈱,,12 ヵ月,,ラヂオライト #500,ﾗﾁﾞｵﾗｲﾄ ﾅﾝﾊﾞｰｺﾞﾋﾔｸ,g（1）,,1％,可能,20kg,,images\163.jpg,kg,20kg,,昭和化学工業㈱,食添,購買,岩森薬品化工㈱,0.24kg,,
,1 枚,12 ヵ月,14 日,液剤,使用期限,―,する,主薬,"4,500",165,F0149,通常,ケイヒエキス,（未設定）,465 : ケイヒ抽出液 ／ 食品用 ／ 日本粉末薬品㈱ ／ 日本粉末薬品㈱,,12 ヵ月,,ケイヒ抽出液(食品原料用),ｹｲﾋﾁﾕｳｼﾕﾂｴｷ,g（1）,,1％,可能,1kg,,images\165.jpg,kg,1kg,,日本粉末薬品㈱,食品メーカー規格,購買,日本粉末薬品㈱,0.075kg,,
,1 枚,12 ヵ月,14 日,液剤,表示なし,―,する,その他,"42,000",166,B2401,通常,ケイヒ油,（未設定）,130 : ケイヒ油 ／ 日局 ／ 日本粉末薬品㈱ ／ 日本粉末薬品㈱,,12 ヵ月,,ケイヒ油,ｹｲﾋﾕ,g（1）,,1％,可能,0.5kg,【比重】規格:1.01～1.065、実績平均値:1.048Kg単価,,kg,500g,,日本粉末薬品㈱,日局,購買,日本粉末薬品㈱,0.26kg,,
,2 枚,12 ヵ月,14 日,錠剤,表示なし,―,する,主薬,885,167,C2401,通常,ケイヒ末,（未設定）,128 : ケイヒ末 ／ 日局 ／ 日本粉末薬品㈱ ／ 日本粉末薬品㈱,,12 ヵ月,,ケイヒ末,ｹｲﾋﾏﾂ,g（1）,,1％,可能,10kg,,images\167.jpg,kg,10kg,,日本粉末薬品㈱,日局,購買,日本粉末薬品㈱,0.055kg,,
,1 枚,12 ヵ月,14 日,錠剤,使用期限,製造後3.5年,する,その他,"1,660",168,A2401,通常,結晶セルロース,（未設定）,190 : セオラスPH-101（＝結晶セルロース） ／ 日局 ／ 旭化成㈱ ／ イワキ㈱,,12 ヵ月,2016/4/1付社名変更 旭化成ケミカルズ→旭化成,セオラス PH-101,ｾｵﾗｽ ﾋﾟｰｴｲﾁｲﾁｾﾞﾛｲﾁ,g（1）,,1％,可能,20kg,,images\168.jpg,kg,20kg,,旭化成㈱,日局,購買,スペラネクサス㈱,0.36kg,,
,1 枚,12 ヵ月,14 日,錠剤,使用期限,製造後3.5年,する,その他,"1,573",169,A2403,通常,結晶セルロース,（未設定）,191 : セオラスPH-102（＝結晶セルロース） ／ 日局 ／ 旭化成㈱ ／ 日本バルク薬品㈱,,12 ヵ月,2016/4/1付社名変更 旭化成ケミカルズ→旭化成,セオラス PH-102,ｾｵﾗｽ ﾋﾟｰｴｲﾁｲﾁｾﾞﾛﾆ,g（1）,,1％,可能,20kg,,images\169.jpg,kg,20kg,,旭化成㈱,日局,購買,日本バルク薬品㈱,0.26kg,,
,2 枚,12 ヵ月,14 日,液剤,使用期限,―,する,主薬,"1,400",17,F0126,通常,L-アスパラギン酸ナトリウム,（未設定）,005 : L-アスパラギン酸ナトリウム（自社） ／ 食添 ／ 大日本住友製薬 ／ 日本バルク薬品㈱,,12 ヵ月,,L-アスパラギン酸ナトリウム,Lｰｱｽﾊﾟﾗｷﾞﾝｻﾝﾅﾄﾘｳﾑ,g（1）,【22-225-1】L-アスパラギン酸ナトリウムの社名変更(2022.8入荷済),1％,可能,10kg,,images\17.jpg,kg,10kg,,住友ファーマフード&ケミカル㈱,食添,購買,日本バルク薬品㈱,0.1kg,,
,1 枚,12 ヵ月,14 日,液剤,使用期限,製造後3年,する,その他,"2,370",170,K0007,通常,結晶セルロース・カルメロースナトリウム,（未設定）,192 : セオラスＲＣ-Ａ591ＮＦ ／ ？薬添規 ／ 旭化成㈱ ／ イワキ㈱,,12 ヵ月,表示量11%   2016/4/1付社名変更 旭化成ケミカルズ→旭化成,セオラス RC-A591NF,ｾｵﾗｽ ｱｰﾙｼｰｴｰｺﾞｷﾕｳｲﾁｴﾇｴﾌ,g（1）,,1％,可能,25kg,,images\170.jpg,kg,25kg,,旭化成㈱,薬添規,購買,スペラネクサス㈱,0.35kg,,
,1 枚,12 ヵ月,14 日,液剤,使用期限,,する,その他,"9,500",171,F0195,通常,ベルモットフレーバーMQ-43993,（未設定）,（未設定）,,12 ヵ月,,ベルモットフレーバー MQ-43993,ﾍﾞﾙﾓﾂﾄﾌﾚｰﾊﾞｰ ｴﾑｷﾕｰﾖﾝｻﾝｷﾕｳｷﾕｳｻﾝ,g（1）,【21-229】エゾウコギスーパードリンクα及びエゾエースゴールドの香料変更,1％,可能,1kg,実測値:0.925(規格範囲:0.914～0.934)メーカー試験結果:0.927ベルモットエッセンスW-8418終売による代替品。エゾウコギスーパードリンクα,images\171.jpg,kg,1kg,,高砂香料工業㈱,香料,購買,日本バルク薬品㈱,0.08kg,,
,1 枚,12 ヵ月,14 日,軟膏,表示なし,―,する,その他,"2,600",172,A2407,通常,ゲル化炭化水素,（未設定）,434 : ハイコールジェル（＝ゲル化炭化水素） ／ 薬添規 ／ カネダ(株) ／ 金剛薬品㈱,,12 ヵ月,,ゲル化炭化水素 ハイコールジェル,ｹﾞﾙｶﾀﾝｶｽｲｿ ﾊｲｺｰﾙｼﾞｴﾙ,g（1）,,1％,可能,17kg,缶変更:2022年3月出荷分より変更予定,images\172.jpg,kg,17kg,,カネダ㈱,薬添規,購買,金剛薬品㈱,1.645kg,,
,1 枚,12 ヵ月,14 日,液剤,表示なし,―,する,主薬,"13,650",173,K0023,通常,ゲンノショウコ乾燥エキス,（未設定）,132 : ゲンノショウコ乾燥エキスＳ　 ／  ／ 日本粉末薬品㈱ ／ 興和（株）,,12 ヵ月,,ゲンノショウコ乾燥エキスS,ｹﾞﾝﾉｼﾖｳｺｶﾝｿｳｴｷｽｴｽ,g（1）,,1％,可能,3kg,,images\173.jpg,kg,3kg,,日本粉末薬品㈱,別紙規格,購買,興和㈱化学素材部 機能材料課,0.23kg,,
,1 枚,12 ヵ月,14 日,錠剤,使用期限,―,する,その他,"1,110",175,A2502,通常,合成ケイ酸アルミニウム,（未設定）,133 : 合成ケイ酸アルミニウム(重質) ／ 日局 ／ 協和化学工業㈱ ／ イワキ㈱,,12 ヵ月,,合成ケイ酸アルミニウム 重質,ｺﾞｳｾｲｹｲｻﾝｱﾙﾐﾆｳﾑ ｼﾞﾕｳｼﾂ,g（1）,,1％,可能,20kg,,images\175.jpg,kg,20kg,,協和化学工業㈱,日局,購買,スペラネクサス㈱,0.265kg,,
,1 枚,12 ヵ月,14 日,錠剤,リテスト,―,する,その他,"1,270",176,A2507,通常,合成ケイ酸アルミニウム,（未設定）,134 : 合成ケイ酸アルミニウム(特軽質） ／ 日局 ／ 協和化学工業㈱ ／ 日本バルク薬品㈱,,12 ヵ月,,合成ケイ酸アルミニウム 特軽質,ｺﾞｳｾｲｹｲｻﾝｱﾙﾐﾆｳﾑ ﾄｸｹｲｼﾂ,g（1）,,1％,可能,15kg,,images\176.jpg,kg,15kg,,協和化学工業㈱,日局,購買,日本バルク薬品㈱,0.38kg,,
,1 枚,12 ヵ月,14 日,液剤,使用期限,―,する,その他,"1,270",177,K0001,通常,合成ヒドロタルサイト,（未設定）,016 : アルカマックＶＦ ／ ？局外規 ／ 協和化学工業㈱ ／ イワキ㈱,,12 ヵ月,,アルカマックVF(合成ヒドロタルサイト),ｱﾙｶﾏﾂｸﾌﾞｲｴﾌ.ｺﾞｳｾｲﾋﾄﾞﾛﾀﾙｻｲﾄ.,g（1）,,1％,可能,15kg,合成ヒドロタルサイト(銘柄:アルカマックVF)の製造販売終了時期は2023年末。数量確保などは別途相談。粉末品として、アルカマックB(以下:B)というグレードがあり、今回代替品として提案を受けている。受入試験:1週間程度(規格適合品が無いと1ヶ月以上納品が遅れるので、早めに発注と納品しておく),images\177.jpg,kg,15kg,,協和化学工業㈱,局外規,購買,スペラネクサス㈱,0.45kg,,
,2 枚,12 ヵ月,14 日,液剤,使用期限,―,する,主薬,"7,500",18,F0086,通常,L-アルギニン,（未設定）,017 : Ｌ-アルギニン（食添） ／ 食添 ／ 味の素㈱ ／ 日本バルク薬品㈱,,12 ヵ月,,食品添加物 L-アルギニン(味の素),ｼﾖｸﾋﾝﾃﾝｶﾌﾞﾂ ｴﾙｱﾙｷﾞﾆﾝ.ｱｼﾞﾉﾓﾄ.,g（1）,,1％,可能,10kg,,images\18.jpg,kg,10kg,,味の素㈱,食添,購買,日本バルク薬品㈱,0.09kg,,
,2 枚,12 ヵ月,14 日,液剤,表示なし,―,する,主薬,"383,323",180,C2503,通常,ゴオウチンキ,（未設定）,135 : ゴオウチンキ　＜三星製薬＞ ／ 別紙規格 ／ 三星製薬㈱ ／ 三星製薬㈱,,12 ヵ月,,ゴオウチンキ,ｺﾞｵｳﾁﾝｷ,g（0.9062）,,1％,可能,10kg,リードタイム1ヶ月 【比重】実績平均値:0.9117 L単価=423000円  Kg単価=423000×0.9062【単価】数量限定発注をしたら高額になる(2024.2.9入荷分のうち4L)変更指示23-095により係数変更0.9117→0.9062(2023年6月),images\180.jpg,L,10L,,三星製薬㈱,別紙規格,購買,三星製薬㈱,0.16kg,,
,1 枚,12 ヵ月,14 日,液剤,使用期限,3年,する,主薬,"6,500",183,A9502,通常,L-ロイシン,（未設定）,（未設定）,,12 ヵ月,,L-ロイシン(サンクト),ｴﾙﾛｲｼﾝ.ｻﾝｸﾄ.,g（1）,,1％,可能,25kg,,images\183.jpg,kg,25kg,,㈱サンクト,日局,購買,㈱サンクト,2.5kg,,
,1 枚,12 ヵ月,14 日,液剤,リテスト,メーカー保証10か月,する,その他,"7,000",185,B2504,通常,コーヒーフレーバー B-80262,（未設定）,144 : コーヒーフレーバーＢ80262 ／  ／ 高砂香料工業㈱ ／ イワキ㈱,,12 ヵ月,,コーヒーフレーバー B-80262,ｺｰﾋｰﾌﾚｰﾊﾞｰ ﾋﾞｰﾊﾁｾﾞﾛﾆﾛｸﾆ,g（1）,,1％,可能,1kg,終売,,kg,1kg,,高砂香料工業㈱,香料,購買,スペラネクサス㈱,0.085kg,,
,1 枚,12 ヵ月,14 日,液剤,表示なし,―,する,その他,"3,900",187,B2501,通常,コクトウフレーバー M2,（未設定）,138 : コクトウフレーバーＭ2 ／  ／ 橘香料㈱ ／ ㈱立花商店,,12 ヵ月,"微生物試験あり,2016/1/15より代理店変更(野村香料廃業→立花商店)原料一部変更あり",コクトウフレーバー M-2,ｺｸﾄｳﾌﾚｰﾊﾞｰ ｴﾑﾆ,g（1）,,1％,可能,2kg,微生物試験に最低5日かかる。出来れば月曜入荷か前週の金曜入荷2kg or 30kg以上,images\187.jpg,kg,2kg,,橘香料㈱,香料,購買,㈱立花商店,0.143kg,,
,1 枚,12 ヵ月,14 日,液剤,表示なし,―,する,その他,"9,900",189,B2508,通常,ココアフレーバー №5932,（未設定）,529 : ココアフレーバー№5932 ／  ／ 橘香料㈱ ／ ㈱立花商店,,12 ヵ月,,ココアフレーバー №5932,ｺｺｱﾌﾚｰﾊﾞｰ ﾅﾝﾊﾞｰｺﾞｷﾕｳｻﾝﾆ,g（1）,,1％,可能,1kg,kg入荷、L使用、【比重】規格:0.946～0.986、規格中央値:0.966,images\189.jpg,kg,1kg,,橘香料㈱,香料,購買,㈱立花商店,0.08kg,,
,1 枚,12 ヵ月,14 日,液剤,表示なし,―,する,主薬,"5,800",190,K0008,通常,ゴシュユ流エキス,（未設定）,141 : ゴシュユ流エキス ／ 別紙規格 ／ 日本粉末薬品㈱ ／ 日本粉末薬品㈱,,12 ヵ月,,ゴシュユ流エキス,ｺﾞｼﾕﾕﾘﾕｳｴｷｽ,g（1）,,1％,可能,10kg,,images\190.jpg,kg,10kg,,日本粉末薬品㈱,別紙規格,購買,日本粉末薬品㈱,0.75kg,,
,2 枚,12 ヵ月,14 日,液剤,使用期限,―,する,主薬,"6,845",191,C2507,通常,ゴミシ流エキス,（未設定）,145 : ゴミシ流エキス ／  ／ アルプス薬品工業㈱ ／ 日本バルク薬品㈱,,12 ヵ月,,ゴミシ流エキス,ｺﾞﾐｼﾘﾕｳｴｷｽ,g（1.053）,,1％,可能,10.53kg,【比重】1.053 L単価=6500円  Kg単価=6500×1.053エゾエースゴールド,images\191.jpg,L,10L,,アルプス薬品工業㈱,別紙規格,購買,日本バルク薬品㈱,0.13kg,,
,1 枚,12 ヵ月,14 日,液剤,使用期限,―,する,その他,"6,200",193,A3112,通常,サッカリンナトリウム水和物,（未設定）,147 : サッカリンナトリウム水和物 ／ 日局 ／ 健栄製薬㈱ ／ 日本バルク薬品㈱,,12 ヵ月,,サッカリンナトリウム水和物,ｻﾂｶﾘﾝﾅﾄﾘｳﾑｽｲﾜﾌﾞﾂ,kg（1）,,1％,可能,0.5kg,バラで納品になる(ケース単位で購入しない)ので、運賃着払いが発生する。ヤマト運輸(宅急便),images\193.jpg,kg,0.5kg,,健栄製薬㈱,日局,購買,日本バルク薬品㈱,0.052kg,,
,2 枚,12 ヵ月,14 日,錠剤,表示なし,―,する,その他,"3,000",194,A3113,通常,サラシミツロウ,（未設定）,418 : サラシミツロウ（日局）　丸板 ／ 日局 ／ 小城製薬㈱ ／ 日本バルク薬品㈱,,12 ヵ月,,サラシミツロウF,ｻﾗｼﾐﾂﾛｳ,g（1）,,1％,可能,1kg,セイロガン糖衣A用,,kg,1kg,,小城製薬㈱,日局,購買,日本バルク薬品㈱,0.025kg,,
,2 枚,12 ヵ月,14 日,軟膏/注入軟膏,表示なし,―,する,その他,"2,200",195,A3111,通常,サラシミツロウ,（未設定）,150 : サラシミツロウ　ゴールデンブランド ／ 日局 ／ 三木化学工業㈱ ／ 日本バルク薬品㈱,,12 ヵ月,,ゴールデンブランド(サラシミツロウ ),ｺﾞｰﾙﾃﾞﾝﾌﾞﾗﾝﾄﾞ.ｻﾗｼﾐﾂﾛｳ.,g（1）,,1％,可能,20kg,,images\195.jpg,kg,20kg,,三木化学工業㈱,日局,購買,日本バルク薬品㈱,0.12kg,,
,2 枚,12 ヵ月,14 日,外用剤,使用期限,―,する,主薬,"1,900",196,A3104,通常,サリチル酸,（未設定）,151 : サリチル酸 ／ 日局 ／ APIコーポレーション㈱ ／ 日本バルク薬品㈱,,12 ヵ月,,サリチル酸,ｻﾘﾁﾙｻﾝ,g（1）,,1％,可能,20kg,重金属試験の削除はロット;Y796より順次,images\196.jpg,kg,20kg,,㈱エーピーアイコーポレーション,日局,購買,日本バルク薬品㈱,0.225kg,,
,1 枚,12 ヵ月,14 日,液剤,使用期限,―,する,その他,"9,700",197,B3102,通常,サンアロマトウガラシSV-3541(N),（未設定）,417 : サンアロマトウガラシSV-3541(N) ／  ／ 三栄源エフエフアイ ／ 日本バルク薬品㈱,,12 ヵ月,,サンアロマトウガラシ SV-3541(N),ｻﾝｱﾛﾏﾄｳｶﾞﾗｼ SVｰ3541N,g（1）,,1％,可能,1kg,【比重】規格:0.890～0.920、規格中央値:0.905,images\197.jpg,kg,1kg,,三栄源エフ・エフ・アイ㈱,香料,購買,日本バルク薬品㈱,0.145kg,,
,1 枚,12 ヵ月,14 日,坐剤/軟膏,表示なし,―,する,主薬,820,198,A3108,通常,酸化亜鉛,（未設定）,154 : 酸化亜鉛 ／ 日局 ／ 九州白水㈱ ／ 日本バルク薬品㈱,,12 ヵ月,,酸化亜鉛,ｻﾝｶｱｴﾝ,g（1）,,1％,可能,20kg,,images\198.jpg,kg,20kg,,九州白水㈱,日局,購買,日本バルク薬品㈱,0.375kg,,
,1 枚,12 ヵ月,14 日,液剤,使用期限,3年,する,主薬,"9,000",199,A1209,通常,L-イソロイシン,（未設定）,（未設定）,,12 ヵ月,,L-イソロイシン(サンクト),ｴﾙｲｿﾛｲｼﾝ.ｻﾝｸﾄ.,g（1）,【20-042】セロラBBローヤルαのアミノ酸変更,1％,可能,25kg,,images\199.jpg,kg,25kg,,㈱サンクト,日局,購買,㈱サンクト,2.53kg,,
,1 枚,12 ヵ月,14 日,外用剤,表示なし,―,する,その他,"1,210",2,A6310,通常,"1,3-ブチレングリコール",（未設定）,"691 : 1,3-ブチレングリコール ／  ／ ダイセル ／ 日本バルク薬品㈱",,12 ヵ月,,"1,3-ブチレングリコール【1,3BG】",ｲﾂﾃﾝｻﾝﾌﾞﾁﾚﾝｸﾞﾘｺｰﾙ【ｲﾂﾃﾝｻﾝﾋﾞｰｼﾞｰ】,g（1）,,1％,可能,18kg,,images\2.jpg,kg,18kg,,㈱ダイセル,薬添規,購買,日本バルク薬品㈱,1.15kg,,
,1 枚,12 ヵ月,14 日,錠剤,表示なし,―,する,主薬,"1,760",200,A3117,通常,酸化チタン,（未設定）,155 : 酸化チタン　 ／ 日局 ／ フロイント産業㈱ ／ イワキ㈱,,12 ヵ月,2019/5/22→A-HR代替品,酸化チタン FG,ｻﾝｶﾁﾀﾝ ｴﾌｼﾞｰ,g（1）,,1％,可能,25kg,2026年終売,images\200.jpg,kg,25kg,,フロイント産業㈱,日局,購買,スペラネクサス㈱,0.205kg,,
,1 枚,12 ヵ月,14 日,液剤,使用期限,メーカー期限14か月,する,その他,"6,300",201,B3101,通常,サンショミクロンH-82160,（未設定）,156 : サンショミクロン H-82160 ／  ／ 高砂香料工業㈱ ／ イワキ㈱,,12 ヵ月,,サンショミクロン H-82160,ｻﾝｼﾖﾐｸﾛﾝ ｴｲﾁﾊﾁﾆｲﾁﾛｸｾﾞﾛ,g（1）,,1％,可能,1kg,,images\201.jpg,kg,1kg,,高砂香料工業㈱,香料,購買,スペラネクサス㈱,0.01kg,,
,1 枚,12 ヵ月,14 日,液剤,使用期限,―,する,主薬,"6,000",202,F0150,通常,サンシュユの実エキス,（未設定）,467 : サンシュユの実抽出液 ／ 食品用 ／ 日本粉末薬品㈱ ／ 日本粉末薬品㈱,,12 ヵ月,,サンシュユの実抽出液(食品原料用),ｻﾝｼﾕﾕﾉﾐﾁﾕｳｼﾕﾂｴｷ,g（1）,,1％,可能,1kg,,images\202.jpg,kg,1kg,,日本粉末薬品㈱,食品メーカー規格,購買,日本粉末薬品㈱,0.075kg,,
,1 枚,12 ヵ月,14 日,液剤,使用期限,―,する,その他,"18,000",203,B3103,通常,サンリフレ,（未設定）,455 : サンリフレ（Ｐ） ／  ／ 三栄原ＦＦＩ ／ 日本バルク薬品㈱,,12 ヵ月,,サンリフレ,ｻﾝﾘﾌﾚ,g（1）,,1％,可能,1kg,【比重】規格:1.030～1.150、実績平均値:1.095,images\203.jpg,kg,1kg,,三栄源エフ・エフ・アイ㈱,香料,購買,日本バルク薬品㈱,0.145kg,,
,1 枚,12 ヵ月,14 日,坐剤,使用期限,―,する,主薬,"36,500",204,A3216,通常,ジアゼパム,（未設定）,157 : ジアゼパム ／ 日局 ／ シュトラーゲン社（ｽｲｽ）/輸入業者：ｼﾞｬﾊﾟﾝｿﾌｧﾙｼﾑ㈱ ／ 東方化成㈱,,12 ヵ月,,ジアゼパム,ｼﾞｱｾﾞﾊﾟﾑ,g（1）,【21-284】ジアゼパム・フェノバルビタールナトリウムの商流変更(2022/06/21初回入荷済),1％,可能,10kg,納期3ヶ月。※製造元:イタリア・輸出業者:シュトラーゲン(スイス)・輸入業者:ジャパンソファルシム(日本)東方化成→2022.4～新日本薬業,images\204.jpg,kg,10kg,,F.I.S.,日局,購買,新日本薬業㈱,2.145kg,,
,2 枚,12 ヵ月,14 日,液剤,使用期限,―,する,主薬,"2,650,000",205,F0049,通常,シアノコバラミン,（未設定）,159 : シアノコバラミン（食添）　（＝ビタミンＢ12（食添）） ／ 食添 ／ ＤＳＭ㈱ ／ 日本バルク薬品㈱,,12 ヵ月,,シアノコバラミン,ｼｱﾉｺﾊﾞﾗﾐﾝ,kg（1）,,1％,可能,0.01kg,g単価=2650円,images\205.jpg,g,10g,,DSM,食添,購買,日本バルク薬品㈱,0.015kg,,
,1 枚,12 ヵ月,14 日,液剤,表示なし,―,する,主薬,"21,120",207,C9511,通常,鹿茸チンキ,（未設定）,410 : 鹿茸チンキ　＜日本粉末＞ ／  ／ 日本粉末薬品㈱ ／ 日本粉末薬品㈱,,12 ヵ月,,鹿茸チンキ,ﾛｸｼﾞﾖｳﾁﾝｷ,g（0.96）,,1％,可能,10kg,【比重】実績平均値:0.96  L単価=22000円  Kg単価=22000×0.96,images\207.jpg,L,10L,,日本粉末薬品㈱,別紙規格,購買,日本粉末薬品㈱,0.77kg,,
